"Page","Label","Count"
"Sale_Invoice_Detail.html","undo Issue Refund","1"
"Sale_Invoice_Detail.html","warning Void Invoice","1"
"Settings.html","Change Logo","1"
"Settings.html","Discard changes","1"
"Settings.html","notifications","1"
"Settings.html","Save Invoice Settings","1"
"Settings.html","Save Profile","1"
"Suppliers_Management.html","Active","1"
"Suppliers_Management.html","add Add Supplier","1"
"Suppliers_Management.html","All","1"
"Suppliers_Management.html","file_download Export","1"
"Suppliers_Management.html","filter_list Filters","1"
"Suppliers_Management.html","Inactive","1"
"Suppliers_Management.html","more_vert","6"
"Suppliers_Management.html","NEW PO","6"
"Suppliers_Management.html","notifications","1"
